Values,Metal
54,1
55,1
54,1
54,1
55,1
54,1
54,1
53,1
54,1
54,1
55,1
54,1
55,1
54,1
55,1
55,1
54,1
54,1
55,1
55,1
53,1
55,1
54,1
55,1
54,1
53,1
54,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
55,1
54,1
54,1
55,1
54,1
54,1
55,1
55,1
54,1
54,1
54,1
53,1
54,1
54,1
55,1
53,1
54,1
54,1
41,1
54,1
54,1
54,1
54,1
55,1
55,1
53,1
53,1
54,1
55,1
55,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
55,1
53,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
53,1
54,1
54,1
54,1
55,1
53,1
55,1
54,1
54,1
53,1
54,1
53,1
54,1
54,1
53,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
56,2
53,1
55,1
55,1
54,1
55,1
54,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
55,1
54,1
54,1
53,1
54,1
54,1
55,1
55,1
53,1
55,1
55,1
54,1
54,1
54,1
54,1
55,1
54,1
55,1
55,1
53,1
54,1
54,1
54,1
56,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
55,1
54,1
55,1
54,1
54,1
55,1
54,1
53,1
55,1
53,1
54,1
55,1
54,1
54,1
55,1
54,1
55,1
55,1
54,1
54,1
54,1
55,1
54,1
54,1
55,1
55,1
55,1
54,1
54,1
55,1
54,1
54,1
55,1
54,1
54,1
55,1
54,1
54,1
55,1
55,1
54,1
54,1
55,1
54,1
54,1
53,1
54,1
54,1
54,1
53,1
55,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
53,1
55,1
54,1
54,1
54,1
55,1
55,1
53,1
54,1
54,1
55,1
55,1
55,1
54,1
53,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
53,1
54,1
54,1
54,1
54,1
53,1
53,1
54,1
54,1
54,1
55,1
54,1
53,1
54,1
54,1
54,1
54,1
54,1
54,1
53,1
54,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
55,1
53,1
53,1
54,1
54,1
54,1
55,1
54,1
54,1
55,1
55,1
54,1
53,1
53,1
53,1
54,1
53,1
55,1
54,1
54,1
54,1
54,1
54,1
53,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
55,1
54,1
53,1
55,1
54,1
53,1
55,1
55,1
54,1
55,1
55,1
54,1
54,1
55,1
53,1
55,1
54,1
54,1
54,1
55,1
54,1
54,1
53,1
54,1
52,1
55,1
54,1
54,1
55,1
54,1
54,1
55,1
54,1
55,1
54,1
56,1
54,1
53,1
54,1
54,1
55,1
54,1
54,1
53,1
54,1
53,1
55,1
54,1
53,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
54,1
53,1
55,1
54,1
54,1
54,1
54,1
54,1
53,1
54,1
54,1
53,1
53,1
54,1
54,1
53,1
54,1
54,1
55,1
53,1
54,1
55,1
53,1
54,1
54,1
54,1
53,1
54,1
54,1
54,1
54,1
53,1
54,1
55,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
54,1
53,1
53,1
54,1
54,1
55,1
54,1
55,1
54,1
54,1
53,1
53,1
54,1
54,1
54,1
55,1
55,1
54,1
54,1
54,1
53,1
54,1
53,1
54,1
53,1
54,1
54,1
53,1
54,1
54,1
54,1
54,1
54,1
53,1
54,1
54,1
54,1
55,1
54,1
53,1
54,1
54,1
54,1
53,1
54,1
53,1
54,1
54,1
54,1
55,1
55,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
53,1
55,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
53,1
54,1
54,1
54,1
54,1
55,1
55,1
54,1
54,1
54,1
53,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
55,1
54,1
54,1
54,1
55,1
54,1
55,1
54,1
54,1
55,1
54,1
54,1
54,1
55,1
54,1
54,1
53,1
54,1
54,1
54,1
55,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
55,1
56,1
54,1
54,1
54,1
53,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
53,1
55,1
54,1
55,1
54,1
55,1
53,1
53,1
54,1
55,1
54,1
55,1
54,1
54,1
55,1
55,1
55,1
54,1
54,1
55,1
54,1
53,1
55,1
54,1
54,1
55,1
55,1
54,1
54,1
54,1
54,1
55,1
55,1
54,1
55,1
55,1
54,1
54,1
54,1
54,1
55,1
55,1
54,1
54,1
55,1
54,1
54,1
54,1
53,1
54,1
54,1
55,1
55,1
54,1
54,1
54,1
55,1
54,1
55,1
55,1
55,1
54,1
53,1
54,1
53,1
54,1
54,1
54,1
54,1
55,1
54,1
54,1
53,1
55,1
54,1
55,1
54,1
55,1
54,1
55,1
54,1
54,1
54,1
53,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
53,1
54,1
54,1
56,1
55,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
55,1
54,1
55,1
55,1
55,1
54,1
55,1
53,1
54,1
54,1
53,1
54,1
54,1
54,1
54,1
53,1
55,1
53,1
53,1
54,1
54,1
54,1
54,1
54,1
55,1
53,1
56,1
55,1
55,1
54,1
55,1
54,1
54,1
54,1
54,1
55,1
54,1
53,1
54,1
54,1
55,1
55,1
54,1
54,1
54,1
55,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
55,1
54,1
54,1
54,1
55,1
54,1
55,1
53,1
54,1
54,1
54,1
54,1
53,1
54,1
55,1
54,1
54,1
54,1
55,1
55,1
56,2
54,1
55,1
54,1
55,1
54,1
54,1
56,1
56,1
55,1
56,1
56,2
54,1
56,1
55,1
55,1
56,1
55,1
56,1
56,2
56,2
55,1
56,1
55,1
54,1
55,1
56,1
55,1
55,1
55,1
54,1
56,1
55,1
55,1
55,1
55,1
54,1
55,1
55,1
54,1
54,1
54,1
55,1
54,1
54,1
55,1
55,1
54,1
55,1
55,1
54,1
55,1
56,1
55,1
54,1
54,1
56,1
55,1
55,1
55,1
56,1
56,2
56,2
55,1
56,1
55,1
55,1
54,1
56,1
55,1
56,2
55,1
56,1
54,1
55,1
56,1
55,1
54,1
56,1
56,1
56,1
56,1
55,1
55,1
55,1
54,1
56,1
55,1
55,1
54,1
56,1
56,2
56,1
56,2
54,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
56,2
56,2
55,1
54,1
56,2
55,1
54,1
55,1
55,1
55,1
56,1
55,1
55,1
55,1
54,1
55,1
55,1
55,1
54,1
55,1
55,1
55,1
55,1
54,1
55,1
54,1
54,1
56,1
54,1
56,1
55,1
54,1
55,1
55,1
54,1
56,1
54,1
54,1
55,1
54,1
54,1
55,1
55,1
54,1
54,1
55,1
55,1
54,1
54,1
55,1
54,1
56,1
54,1
54,1
55,1
56,1
54,1
54,1
54,1
54,1
55,1
54,1
53,1
54,1
54,1
53,1
56,1
55,1
55,1
55,1
54,1
55,1
55,1
54,1
56,1
54,1
55,1
54,1
53,1
54,1
55,1
53,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
53,1
54,1
54,1
53,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
55,1
54,1
54,1
55,1
55,1
54,1
53,1
53,1
54,1
55,1
55,1
54,1
54,1
53,1
55,1
54,1
54,1
54,1
55,1
55,1
54,1
55,1
55,1
55,1
54,1
